"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 05 08:39:45 GMT 2023","Thu Oct 05 08:39:50 GMT 2023","5048","chromium","specs/e2e.spec.js","Main page","","","should open online shop page after clicking on the book image",""
"passed","Thu Oct 05 08:40:38 GMT 2023","Thu Oct 05 08:40:44 GMT 2023","5808","firefox","specs/e2e.spec.js","Top menu links","","","should open the corresponding pages after clicking on them",""
"passed","Thu Oct 05 08:40:27 GMT 2023","Thu Oct 05 08:40:32 GMT 2023","5041","firefox","specs/e2e.spec.js","Issues page","","","should show page number in the URL after clicking on the pagination",""
"failed","Thu Oct 05 08:41:04 GMT 2023","Thu Oct 05 08:41:07 GMT 2023","3613","webkit","specs/e2e.spec.js","Main page","","","should open online shop page after clicking on the book image",""
"passed","Thu Oct 05 08:40:32 GMT 2023","Thu Oct 05 08:40:38 GMT 2023","6561","firefox","specs/e2e.spec.js","Registration page","","","should allow a user to register",""
"passed","Thu Oct 05 08:40:22 GMT 2023","Thu Oct 05 08:40:27 GMT 2023","4419","firefox","specs/e2e.spec.js","Main page","","","should open the results page with items containing the searched word",""
"failed","Thu Oct 05 08:41:17 GMT 2023","Thu Oct 05 08:41:20 GMT 2023","3597","webkit","specs/e2e.spec.js","Main page","","","should open the results page with items containing the searched word",""
"passed","Thu Oct 05 08:40:14 GMT 2023","Thu Oct 05 08:40:22 GMT 2023","7935","firefox","specs/e2e.spec.js","Main page","","","should open online shop page after clicking on the book image",""
"failed","Thu Oct 05 08:41:42 GMT 2023","Thu Oct 05 08:41:46 GMT 2023","3525","webkit","specs/e2e.spec.js","Registration page","","","should allow a user to register",""
"passed","Thu Oct 05 08:39:54 GMT 2023","Thu Oct 05 08:39:59 GMT 2023","4823","chromium","specs/e2e.spec.js","Issues page","","","should show page number in the URL after clicking on the pagination",""
"passed","Thu Oct 05 08:39:59 GMT 2023","Thu Oct 05 08:40:06 GMT 2023","7059","chromium","specs/e2e.spec.js","Registration page","","","should allow a user to register",""
"failed","Thu Oct 05 08:41:55 GMT 2023","Thu Oct 05 08:41:59 GMT 2023","3449","webkit","specs/e2e.spec.js","Top menu links","","","should open the corresponding pages after clicking on them",""
"passed","Thu Oct 05 08:39:50 GMT 2023","Thu Oct 05 08:39:54 GMT 2023","4355","chromium","specs/e2e.spec.js","Main page","","","should open the results page with items containing the searched word",""
"failed","Thu Oct 05 08:41:30 GMT 2023","Thu Oct 05 08:41:33 GMT 2023","3612","webkit","specs/e2e.spec.js","Issues page","","","should show page number in the URL after clicking on the pagination",""
"passed","Thu Oct 05 08:40:06 GMT 2023","Thu Oct 05 08:40:14 GMT 2023","7593","chromium","specs/e2e.spec.js","Top menu links","","","should open the corresponding pages after clicking on them",""
