"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 05 08:28:29 GMT 2023","Thu Oct 05 08:28:32 GMT 2023","2622","webkit","specs/e2e.spec.js","Top menu links","","","should open the corresponding pages after clicking on them",""
"passed","Thu Oct 05 08:26:56 GMT 2023","Thu Oct 05 08:27:00 GMT 2023","4047","chromium","specs/e2e.spec.js","Issues page","","","should show page number in the URL after clicking on the pagination",""
"passed","Thu Oct 05 08:27:20 GMT 2023","Thu Oct 05 08:27:23 GMT 2023","3337","firefox","specs/e2e.spec.js","Main page","","","should open the results page with items containing the searched word",""
"passed","Thu Oct 05 08:26:43 GMT 2023","Thu Oct 05 08:26:53 GMT 2023","10046","chromium","specs/e2e.spec.js","Main page","","","should open online shop page after clicking on the book image",""
"passed","Thu Oct 05 08:27:27 GMT 2023","Thu Oct 05 08:27:33 GMT 2023","6142","firefox","specs/e2e.spec.js","Registration page","","","should allow a user to register",""
"failed","Thu Oct 05 08:28:20 GMT 2023","Thu Oct 05 08:28:23 GMT 2023","2618","webkit","specs/e2e.spec.js","Registration page","","","should allow a user to register",""
"passed","Thu Oct 05 08:27:33 GMT 2023","Thu Oct 05 08:27:38 GMT 2023","4839","firefox","specs/e2e.spec.js","Top menu links","","","should open the corresponding pages after clicking on them",""
"failed","Thu Oct 05 08:28:11 GMT 2023","Thu Oct 05 08:28:13 GMT 2023","2718","webkit","specs/e2e.spec.js","Issues page","","","should show page number in the URL after clicking on the pagination",""
"passed","Thu Oct 05 08:26:53 GMT 2023","Thu Oct 05 08:26:56 GMT 2023","3667","chromium","specs/e2e.spec.js","Main page","","","should open the results page with items containing the searched word",""
"passed","Thu Oct 05 08:27:00 GMT 2023","Thu Oct 05 08:27:07 GMT 2023","6248","chromium","specs/e2e.spec.js","Registration page","","","should allow a user to register",""
"failed","Thu Oct 05 08:28:01 GMT 2023","Thu Oct 05 08:28:04 GMT 2023","2700","webkit","specs/e2e.spec.js","Main page","","","should open the results page with items containing the searched word",""
"passed","Thu Oct 05 08:27:23 GMT 2023","Thu Oct 05 08:27:27 GMT 2023","4024","firefox","specs/e2e.spec.js","Issues page","","","should show page number in the URL after clicking on the pagination",""
"passed","Thu Oct 05 08:27:14 GMT 2023","Thu Oct 05 08:27:20 GMT 2023","5836","firefox","specs/e2e.spec.js","Main page","","","should open online shop page after clicking on the book image",""
"failed","Thu Oct 05 08:27:52 GMT 2023","Thu Oct 05 08:27:54 GMT 2023","2678","webkit","specs/e2e.spec.js","Main page","","","should open online shop page after clicking on the book image",""
"passed","Thu Oct 05 08:27:07 GMT 2023","Thu Oct 05 08:27:14 GMT 2023","6794","chromium","specs/e2e.spec.js","Top menu links","","","should open the corresponding pages after clicking on them",""
